X,Y,OBJECTID,DATEREPORTED,INFORELIABILITY,INCIDENTREGION,DEAD,MISSING,NATIONALITIES,ORIGINREGION,MIGRANTROUTE,LOCATIONDESCRIPTION,NOFEMALE,NOMALE,NOCHILDREN,AGERANGE,SOURCE,URL,COMMENT,PUBLICVIEW,Cause_of_death,Number_of_survivors,type_location
4.9994278,45.7321476280001,1363,2015/05/11 22:00:00+00,Partially Verified,Europe,1,,Afghanistan,South Asia,Other,"Genas, France",,1,,19,Lyon Capitale,http://bit.ly/1HpTRGh,"Found dead in a truck in Genas, France, which had come from Greece",Yes,Crushed by pallets,,
20.090215675,46.2473564100001,1763,2015/09/09 22:00:00+00,Partially Verified,Europe,1,,Unknown,Unknown,Other,"Main road near Szeged, Hungary",,,,,Reuters,http://reut.rs/1GUxsRv,"A car hit three migrants walking along the main road in the dark near the city of Szeged in southern Hungary. All three were treated at a local hospital for sever injuries, and one died.",Yes,Hit by vehicle,,
26.51275514,39.2407598460001,1764,2015/09/21 22:00:00+00,Partially Verified,Mediterranean,,2,unknown,Unknown,Eastern Mediterranean,Off the coast of Lesvos,,,,,AP,http://bit.ly/1Pzrg2j,Two were reported missing after the Hellenic Coast Guard rescued 8 from a sinking boat off the coast of Lesvos.,Yes,Presumed drowning,,
26.399828417,39.3490953800001,1766,2015/11/03 08:47:00+00,Verified,Mediterranean,10,,Afghanistan,South Asia,Eastern Mediterranean,"Off the coast of Lesvos, Greece",,4,6,,IOM Athens,,FRONTEX and the Hellenic Coast Guard rescued 56 refugees and reported 10 dead after an inflatable dinghy was in distress.,Yes,Presumed drowning,,
25.9866382290001,39.4455178970001,1767,2015/11/09 23:00:00+00,Verified,Mediterranean,14,1,Unknown,Unknown,Eastern Mediterranean,"Between Çanakkale/Babakale Deveboynu, Turkey and Lesvos, Greece",,,7,,IOM Turkey,http://www.3news.co.nz/world/migrants-drown-as-boat-sinks-off-turkey-2015111121#axzz3rD0IpLLF,"14 migrants, including 7 children, drowned after a boat from Canakkale, Turkey sank en route to Lesvos, Greece.",Yes,Drowning,,
26.4640462520001,38.3817731180001,3363,2015/11/12 23:00:00+00,Partially Verified,Mediterranean,1,,Unknown,Unknown,Eastern Mediterranean,"Off the coast of Chios, Greece",,1,1,3,AP,http://bit.ly/1QGgDMf,"A migrant boy died at sea when an inflatable boat carrying 15 migrants and an operator smashed on rocks off the coast of the island of Chios, Greece. The boat engine exploded and all passengers jumped into the sea. The other 14 passengers and the 18-year-old operator made it safely to the beach, but the boy was unconscious when coast guard officers arrived and his death was confirmed in the hospital. Two other passengers were hospitalized, but their injuries were not life threatening.",Yes,Drowning,,
25.8532585940001,40.8589688390001,3763,2015/11/14 17:00:00+00,Partially Verified,Europe,1,,Unknown,Unknown,Other,"Train tracks to Alexandroupolis, in NE Greece",1,,1,5,AP,http://bit.ly/1QGgDMf,,Yes,Hit by train,,
15.663439258,46.5526883850001,3764,2015/11/12 23:00:00+00,Partially Verified,Europe,2,,Syrian,MENA,Other,"Hospitals in Murska Sobota and Maribor, Slovenia",,,,"46, 75",Svet24,http://bit.ly/1QpUAdk,"A 46-year-old Syrian refugee died at the Murska Sobota, Slovenia hospital last night due to multiple organ dysfunction. This is after a 75-year-old refugee died in hospital in Maribor, in the first reported deaths related to the refugee crisis in Slovenia.",Yes,Unknown,,
34.2358109400001,31.2417031150001,3765,2015/11/14 23:00:00+00,Verified,North Africa,15,,Sudan,MENA,Other,"South of Rafah, Egypt, near Palestinean border",,,,,"Reuters, New York Times",http://reut.rs/1MwIppc and http://nyti.ms/1PK2VXH,,Yes,Shot,,
34.4994988280001,30.6916171230001,3766,2015/11/05 23:00:00+00,Partially Verified,North Africa,1,,Sudan,MENA,Other,Border between Egypt and Israel,,1,,,Times of Israel,http://bit.ly/1WBgUVB,,Yes,Shot,27,
