	_id	added	content	label	published	body	link	title	text	length
0	ge:18239534028951138362	{u'$date': 1478413157959}	{u'body': u'As the number of <b>migrants</b>&#39; deaths in the Mediterranean Sea hit nearly 4,000 in 2016, the Senate led by Senator Shehu Sani is on the road with&nbsp;...', u'link': u'https://www.google.com/url?rct=j&sa=t&url=http://leadership.ng/features/557765/irregular-migration-senate-joins-forces-to-halt-death-of-nigerians&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGvMYS6fJKDzZXPpb4U6OtBX0eMKg', u'title': u'Irregular <b>Migration</b>: Senate Joins Forces To Halt <b>Death</b> Of Nigerians'}	rejected	{u'$date': 1478324560000}	As the number of <b>migrants</b>&#39; deaths in the Mediterranean Sea hit nearly 4,000 in 2016, the Senate led by Senator Shehu Sani is on the road with&nbsp;...	https://www.google.com/url?rct=j&sa=t&url=http://leadership.ng/features/557765/irregular-migration-senate-joins-forces-to-halt-death-of-nigerians&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGvMYS6fJKDzZXPpb4U6OtBX0eMKg	Irregular <b>Migration</b>: Senate Joins Forces To Halt <b>Death</b> Of Nigerians	Irregular Migration: Senate Joins Forces To Halt Death Of Nigerians As the number of migrants; deaths in the Mediterranean Sea hit nearly 4,000 in 2016, the Senate led by Senator Shehu Sani is on the road with&nbsp;...	218
1	ge:1620759028784135434	{u'$date': 1478413157959}	{u'body': u'&quot;Nobody <b>died</b>,&quot; he says. With close to 160,000 arrivals this year, Italy could surpass Greece as Europe&#39;s major <b>migrant</b> and refugee point of entry.', u'link': u'https://www.google.com/url?rct=j&sa=t&url=http://www.npr.org/sections/parallels/2016/11/05/500669878/italy-becomes-a-leading-destination-for-migrants-matching-greece&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGrPwzhiROzwPY9b8sXz6sS4r4Wpg', u'title': u'Italy Becomes A Leading Destination For <b>Migrants</b>, Matching Greece'}	rejected	{u'$date': 1478341500000}	&quot;Nobody <b>died</b>,&quot; he says. With close to 160,000 arrivals this year, Italy could surpass Greece as Europe&#39;s major <b>migrant</b> and refugee point of entry.	https://www.google.com/url?rct=j&sa=t&url=http://www.npr.org/sections/parallels/2016/11/05/500669878/italy-becomes-a-leading-destination-for-migrants-matching-greece&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGrPwzhiROzwPY9b8sXz6sS4r4Wpg	Italy Becomes A Leading Destination For <b>Migrants</b>, Matching Greece	Italy Becomes A Leading Destination For Migrants, Matching Greece &quot;Nobody died,&quot; he says. With close to 160,000 arrivals this year, Italy could surpass Greece as Europe;s major migrant and refugee point of entry.	222
2	ge:4560001439482459037	{u'$date': 1478413157960}	{u'body': u'Over 200 <b>migrants die</b> in shipwrecks off Libya. Over 200 <b>migrants die</b> in shipwrecks off Libya. Report Abuse Click Here To Read More. Similar News&nbsp;...', u'link': u'https://www.google.com/url?rct=j&sa=t&url=http://newsliner.in/news/Over-200-migrants-die-in-shipwrecks-off-Libya-1478284200&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNG-IVUDONjiEndntXqL2uP52kxeRg', u'title': u'Over 200 <b>migrants die</b> in shipwrecks off Libya'}	accepted	{u'$date': 1478323597000}	Over 200 <b>migrants die</b> in shipwrecks off Libya. Over 200 <b>migrants die</b> in shipwrecks off Libya. Report Abuse Click Here To Read More. Similar News&nbsp;...	https://www.google.com/url?rct=j&sa=t&url=http://newsliner.in/news/Over-200-migrants-die-in-shipwrecks-off-Libya-1478284200&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNG-IVUDONjiEndntXqL2uP52kxeRg	Over 200 <b>migrants die</b> in shipwrecks off Libya	Over 200 migrants die in shipwrecks off Libya Over 200 migrants die in shipwrecks off Libya. Over 200 migrants die in shipwrecks off Libya. Report Abuse Click Here To Read More. Similar News&nbsp;...	199
3	ge:11721998312442412795	{u'$date': 1478413157960}	{u'body': u'At least 239 <b>migrants</b>, believed to be from West Africa, have <b>died</b> in two shipwrecks off Libya, a spokesman for the United Nations <b>migration</b> agency,&nbsp;...', u'link': u'https://www.google.com/url?rct=j&sa=t&url=https://www.f3nws.com/news/239-die-off-lybia-coast-yxrJME&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGnBNqROfwG6Sabb9mt-5oMsyXq9A', u'title': u'239 <b>migrants die</b> in the Med'}	accepted	{u'$date': 1478323117000}	At least 239 <b>migrants</b>, believed to be from West Africa, have <b>died</b> in two shipwrecks off Libya, a spokesman for the United Nations <b>migration</b> agency,&nbsp;...	https://www.google.com/url?rct=j&sa=t&url=https://www.f3nws.com/news/239-die-off-lybia-coast-yxrJME&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGnBNqROfwG6Sabb9mt-5oMsyXq9A	239 <b>migrants die</b> in the Med	239 migrants die in the Med At least 239 migrants, believed to be from West Africa, have died in two shipwrecks off Libya, a spokesman for the United Nations migration agency,&nbsp;...	184
4	ge:12121811051108214999	{u'$date': 1478413157960}	{u'body': u'GENEVA, Nov 3 : At least 239 <b>migrants</b>, believed to be from West Africa, have <b>died</b> in two shipwrecks off Libya, a spokesman for the United Nations&nbsp;...', u'link': u'https://www.google.com/url?rct=j&sa=t&url=http://www.observerbd.com/details.php%3Fid%3D41746&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNEeVyWJHz30tWG8WBr4_nIhBzTu4w', u'title': u'UN says 239 <b>migrants die</b> in two shipwrecks off Libya'}	accepted	{u'$date': 1478305623000}	GENEVA, Nov 3 : At least 239 <b>migrants</b>, believed to be from West Africa, have <b>died</b> in two shipwrecks off Libya, a spokesman for the United Nations&nbsp;...	https://www.google.com/url?rct=j&sa=t&url=http://www.observerbd.com/details.php%3Fid%3D41746&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNEeVyWJHz30tWG8WBr4_nIhBzTu4w	UN says 239 <b>migrants die</b> in two shipwrecks off Libya	UN says 239 migrants die in two shipwrecks off Libya GENEVA, Nov 3 : At least 239 migrants, believed to be from West Africa, have died in two shipwrecks off Libya, a spokesman for the United Nations&nbsp;...	207
5	ge:8991470599314538820	{u'$date': 1478413157960}	{u'body': u'Life is after <b>death</b>, not here. They&#39;re not <b>migrants</b>. <b>Migrants</b> are birds and animals. When a Frenchman goes abroad, he&#39;s an &#39;expatriate&#39;. When it&#39;s a&nbsp;...', u'link': u'https://www.google.com/url?rct=j&sa=t&url=http://www.irishtimes.com/news/world/europe/remains-of-migrant-life-strewn-across-the-stalingrad-camp-1.2855248&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNEau4JSV4MdIFQkP4UzKiXcEnWGjQ', u'title': u'Remains of <b>migrant</b> life strewn across the Stalingrad camp'}	rejected	{u'$date': 1478303506000}	Life is after <b>death</b>, not here. They&#39;re not <b>migrants</b>. <b>Migrants</b> are birds and animals. When a Frenchman goes abroad, he&#39;s an &#39;expatriate&#39;. When it&#39;s a&nbsp;...	https://www.google.com/url?rct=j&sa=t&url=http://www.irishtimes.com/news/world/europe/remains-of-migrant-life-strewn-across-the-stalingrad-camp-1.2855248&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNEau4JSV4MdIFQkP4UzKiXcEnWGjQ	Remains of <b>migrant</b> life strewn across the Stalingrad camp	Remains of migrant life strewn across the Stalingrad camp Life is after death, not here. They;re not migrants. Migrants are birds and animals. When a Frenchman goes abroad, he;s an ;expatriate;. When it;s a&nbsp;...	215
6	ge:12075882848350770687	{u'$date': 1478413157961}	{u'body': u'So denken US-Demokraten wirklich über Deutschland Wikileaks hat e-mails veröffentlicht, <b>die</b> wohl an Hillary Clintons Wahlkampfchef Podesta&nbsp;...', u'link': u'https://www.google.com/url?rct=j&sa=t&url=https://open-speech.com/showthread.php/730847-Germany-s-%25C3%259Cbergutmenschen-and-7-million-Lumpen-migrants&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGEDSfSs7UPR_C2x9Tt1wT5XtpbuQ', u'title': u'Germany&#39;s Übergutmenschen and 7 million Lumpen-<b>migrants</b>'}	rejected	{u'$date': 1478298541000}	So denken US-Demokraten wirklich über Deutschland Wikileaks hat e-mails veröffentlicht, <b>die</b> wohl an Hillary Clintons Wahlkampfchef Podesta&nbsp;...	https://www.google.com/url?rct=j&sa=t&url=https://open-speech.com/showthread.php/730847-Germany-s-%25C3%259Cbergutmenschen-and-7-million-Lumpen-migrants&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNGEDSfSs7UPR_C2x9Tt1wT5XtpbuQ	Germany&#39;s Übergutmenschen and 7 million Lumpen-<b>migrants</b>	Germany;s Übergutmenschen and 7 million Lumpen-migrants So denken US-Demokraten wirklich über Deutschland Wikileaks hat e-mails veröffentlicht, die wohl an Hillary Clintons Wahlkampfchef Podesta&nbsp;...	203
7	ge:15428506610722352235	{u'$date': 1478413157961}	{u'body': u'There was panic as refugees fell into the water during a rescue operation by the Topaz Responder rescue ship run by Maltese NGO, Moas, and the&nbsp;...', u'link': u'https://www.google.com/url?rct=j&sa=t&url=http://crcconnection.com/2016/11/04/239-migrants-die-in-two-shipwrecks-off-libya.html&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNFvTw8Uwxi1M3Pj5emrLF_LFlrBAw', u'title': u'239 <b>migrants die</b> in two shipwrecks off Libya'}	accepted	{u'$date': 1478292474000}	There was panic as refugees fell into the water during a rescue operation by the Topaz Responder rescue ship run by Maltese NGO, Moas, and the&nbsp;...	https://www.google.com/url?rct=j&sa=t&url=http://crcconnection.com/2016/11/04/239-migrants-die-in-two-shipwrecks-off-libya.html&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNFvTw8Uwxi1M3Pj5emrLF_LFlrBAw	239 <b>migrants die</b> in two shipwrecks off Libya	239 migrants die in two shipwrecks off Libya There was panic as refugees fell into the water during a rescue operation by the Topaz Responder rescue ship run by Maltese NGO, Moas, and the&nbsp;...	196
8	ge:5055609828518538266	{u'$date': 1478413157961}	{u'body': u'By Dipo Olowookere. Reports said two children, whose mother <b>died</b> while on board a boat ferrying refuges and <b>migrants</b> from North Africa to Europe,&nbsp;...', u'link': u'https://www.google.com/url?rct=j&sa=t&url=http://www.businesspost.ng/2016/11/04/240-migrants-perish-mediterranean-sea/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNHuQqNeR_0H7YbM3-bkVnFWJqbvkg', u'title': u'Over 240 <b>Migrants</b> Perish In Mediterranean Sea'}	accepted	{u'$date': 1478292405000}	By Dipo Olowookere. Reports said two children, whose mother <b>died</b> while on board a boat ferrying refuges and <b>migrants</b> from North Africa to Europe,&nbsp;...	https://www.google.com/url?rct=j&sa=t&url=http://www.businesspost.ng/2016/11/04/240-migrants-perish-mediterranean-sea/&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNHuQqNeR_0H7YbM3-bkVnFWJqbvkg	Over 240 <b>Migrants</b> Perish In Mediterranean Sea	Over 240 Migrants Perish In Mediterranean Sea By Dipo Olowookere. Reports said two children, whose mother died while on board a boat ferrying refuges and migrants from North Africa to Europe,&nbsp;...	200
9	ge:5637883152692138122	{u'$date': 1478413157961}	{u'body': u'Waseb TV is a Saraiki language channel. Its programming consists of general Entertainment, Infotainment, News, Current affairs and Drama&#39;s.', u'link': u'https://www.google.com/url?rct=j&sa=t&url=http://www.dailymotion.com/video/x50opx6&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNERm0ie7V-nax4R0uEGFzCymmqjtw', u'title': u'UN says 239 <b>migrants die</b> in two shipwrecks off Libya'}	accepted	{u'$date': 1478288402000}	Waseb TV is a Saraiki language channel. Its programming consists of general Entertainment, Infotainment, News, Current affairs and Drama&#39;s.	https://www.google.com/url?rct=j&sa=t&url=http://www.dailymotion.com/video/x50opx6&ct=ga&cd=CAIyHDYxOGExNDI0YmE1ODMzNDU6Y29tOmVuOlVTOkw&usg=AFQjCNERm0ie7V-nax4R0uEGFzCymmqjtw	UN says 239 <b>migrants die</b> in two shipwrecks off Libya	UN says 239 migrants die in two shipwrecks off Libya Waseb TV is a Saraiki language channel. Its programming consists of general Entertainment, Infotainment, News, Current affairs and Drama;s.	192
